TM,Actual,DoubleEncoderTransformer,Transformer,LSTM,GRU,CNN
2018-05-23 07:00:00,-0.7600443,-0.78692675,-0.7602011,-0.7594829,-0.76016974,-0.7598942
2018-05-23 08:00:00,-0.7601421,-0.7870506,-0.7603445,-0.7596435,-0.7603119,-0.76017463
2018-05-23 09:00:00,-0.7602365,-0.78715336,-0.76045144,-0.7597713,-0.7604308,-0.760459
2018-05-23 10:00:00,-0.7603297,-0.7872508,-0.76054895,-0.7598612,-0.7605385,-0.76074475
2018-05-23 11:00:00,-0.76043946,-0.78734946,-0.76064473,-0.75994784,-0.76064926,-0.7610254
2018-05-23 12:00:00,-0.76056385,-0.78746486,-0.76076156,-0.7600753,-0.7607815,-0.76130044
2018-05-23 13:00:00,-0.76069593,-0.78760135,-0.76087964,-0.76026386,-0.7609382,-0.7616039
2018-05-23 14:00:00,-0.76084447,-0.78774524,-0.7610209,-0.76050216,-0.7611073,-0.76190615
2018-05-23 15:00:00,-0.76103526,-0.78791195,-0.76117384,-0.7607532,-0.7612746,-0.76221216
2018-05-23 16:00:00,-0.761223,-0.78811765,-0.7613573,-0.76097363,-0.76144695,-0.7625103
2018-05-23 17:00:00,-0.76139903,-0.78832376,-0.7615227,-0.76114124,-0.7616172,-0.7628038
2018-05-23 18:00:00,-0.7615435,-0.7885089,-0.76168174,-0.7612713,-0.7617812,-0.7630679
2018-05-23 19:00:00,-0.76168036,-0.78866136,-0.7618122,-0.7614002,-0.76193297,-0.76333874
2018-05-23 20:00:00,-0.76181364,-0.78880537,-0.76195055,-0.76155454,-0.7620783,-0.7636144
2018-05-23 21:00:00,-0.7619404,-0.7889527,-0.7620982,-0.7617304,-0.76221883,-0.7638912
2018-05-23 22:00:00,-0.7620589,-0.78909224,-0.7622498,-0.76190484,-0.7623484,-0.76413655
2018-05-23 23:00:00,-0.76217127,-0.78922355,-0.76238096,-0.76205957,-0.76246595,-0.7643631
2018-05-24 00:00:00,-0.76230466,-0.7893431,-0.7625027,-0.76219565,-0.76257646,-0.7645711
2018-05-24 01:00:00,-0.7624639,-0.789482,-0.76264596,-0.76232743,-0.7627014,-0.7647913
2018-05-24 02:00:00,-0.76264447,-0.78964674,-0.7628155,-0.7624703,-0.7628531,-0.7650323
2018-05-24 03:00:00,-0.76282674,-0.7898329,-0.76299965,-0.76263434,-0.7630331,-0.7652767
2018-05-24 04:00:00,-0.7630375,-0.7900231,-0.76319355,-0.7628221,-0.76322174,-0.76550066
2018-05-24 05:00:00,-0.7632588,-0.7902396,-0.76342624,-0.7630252,-0.76342183,-0.76570344
2018-05-24 06:00:00,-0.7634909,-0.7904677,-0.76365674,-0.7632285,-0.7636292,-0.7659009
2018-05-24 07:00:00,-0.76373816,-0.79070437,-0.7638925,-0.763423,-0.7638515,-0.7661055
2018-05-24 08:00:00,-0.7640076,-0.7909616,-0.76413447,-0.7636221,-0.7640958,-0.7663343
2018-05-24 09:00:00,-0.76432896,-0.79122984,-0.7644164,-0.76386017,-0.76437664,-0.76652133
